Nom de l'entreprise,Adresse,Email entreprise
OffensyLab,"Smart Tunisian Technopark, El Ghazela, 2038 - Tunis",Contact@defensy.io
HRMAPS,"Immeuble City Center Tour Bureaux, B07-E3 3ème étage, Tunis 1080",contact@hrmaps.eu.com
Centre National de l'informatique,"17 rue belhassen ben chaaben , el omrane",webcni@cni.tn
Manufacture Electro-Technique  de sousse (METS),sidi abdelhmid sousse,ahmed.asma@draexlmaier.de
Advanced Derivative Solutions,Centre Urbain Nord,rh@aderivatives.com
SMDI,"Route gremda km 1.5, Sfax",contact@smdi.tn
MAKLADA SA,ZI ELJEM,makladausine@maklada.com
Ooredoo Tunisie,"Imm. Zenith Les Jardins du Lac 1053, Les Berges du Lac Tunis Tunisie",mariem.cherif@ooredoo.tn
SIMAC,"124, rue Radhia Hadded-1000 Tunis",contact@simac.tn
ste visioad,avenue taieb Mhiri sousse,info@visioad.com
"Efrei Research Lab, Paris Panthéon-Assas Université","30-32 avenue de la République, 94 800 Villejuif (Mode de travail - Télétravail)",Ahmed.jouini@efrei.fr
Ernst & Young,"EY TOWER, Avenue Fadhel ben achour centre urbain nord 1003,Tunis",Tunisoffice@tn.ey.com
Amen Bank,"Ave Mohamed V, Tunis 1002",amenbank@amenbank.com.tn
Fysali SAS,70 rue du Docteur Yersin Bio-Incubateur,omar@fysali.com
FoodoMarket,route gabes km 2,rh@foodomarket.com
"Centre Nationale de l'informatique ,Menzel Jemil","Rimel 7080 Menzel Jemil, Bizerte",welyagoubi@cni.tn
Elyos Digital Tunisie,Rue Mohamed Shim Rbat monastir,contact@elyosdigital.com
LEONI Manzel Hayet,Manzel Hayet -Monastir,stage.leoni.tunisie@leoni.com
STMicroelectronics,"PB 21 Technopark EL GHAZELLA, Ariana",NA@NA.com
Ecole Nationale d'Ingénieurs de Tunis (ENIT),"ENIT - BP 37, 1002 Tunis Le Belvédère, Tunisie",yasser.gritli@enit.utm.tn
Bee coders,Technopole ghazela ariana,Admin@beecoders.tn
Centre de Recherche en Numérique de Sfax,"Technopark of Sfax, B.P. 275 , Sakiet Ezzit, 3021 Sfax, Tunisia",contact@crns.rnrt.tn
SANCELLA,Avenue 18 Janvier - Ksibet el mediouni,mohamed.chebil@sancella.com.tn
TUNISIE TELECOM GABES,Rue Bachir Eljaziri 6001 - Gabés,Ismail.Kthir@tunisietelecom.tn
Openbee,2éme étage immeuble carrefour kharouba hammamet 8000,Info@openbee.com
coaching academy,"Résidence prestige BM3, 90, 1 Av. Hédi Nouira, Ariana 2001",Coachingacademy6@gmail.com
JAWAKER,", Sweifieh Amman Jordan",marketing@jawaker.com
ADERFIA INC,"Cyber parc kairouan, M34M+JQ2, Kairouan, Kairouan, Tunisia",aderfia.inc@gmail.com
OmegUp,Cyber parc zarzis,contact@omegup.tn
Olab Dynamics,"7 Rue Aline Jacquier Savigny-le-temple, France",Olab.Dynamics@gmail.com
Anypli,"Rue Ibn El Jazzar, Skanes, 5000 Monastir,",contact@anypli.com
clinisys,"Route Manzel chaker km 4, Sfax,Tunisie",soft@csys.com.tn
Laboratoire Mécanique de Sousse,"Pôle technologique de Sousse, Route de Ceinture Sahloul, Sousse 4054",sami.bennour@eniso.u-sousse.tn
Quetratech,Bureau B10 pépiniére d'entreprises Mahdia entreprendre 5100 mahdia,contact@quetratech.com
Sancella,Avenue 18 janvier ksibet el mediouni monastir,houssem.boutara@sancella.com.tn
société tunisienne d'assurances et de réassurances,Square avenue de Paris 1080 - Tunis,contact@star.com.tn
Whitecape Technoloies,Avenue de la république Akouda 4022 Sousse,raja.belhouch@whitecapetech.com
Expert Informatique,"Rue Farid Ghazi Houmt souk 4180 Djerba - MEDENINE, Médenine",belhajwael@gmail.com
Cosider canalisation pôle H31,Route de Mahelma SIDI ABDALLAH_ Alger_ Algérie,cosider.canalisations.h31@gmail.com
OPUS LAB,"Rue Abou baker el bakri, Immeuble Luxor 1, B3.2 3ème étage 1002, Monplaisir",labopus.info@gmail.com
Allence tunisie,residence Babel Montplaisir bloc A-1eretage,hajer.ayari@allencetunisie.com
Leader solution tactile,Avenue hbib bourguiba-Golaa 4234,iyed.chafroud@aureskonnect.com
Screenflex,Cercle des bureau - Bloc B - Bureau N: B112 - Centre Urbain Nord - Tunis,contact@screenflex.pro
Kleos,Djerba houmt-souk,sales@kleos.tn
IOIT,IMM-haj yahya KM2 route de Gabès 4100 Médenine,contact@ioit.tn
Groupe ELAN,"CHEMIN DU FORON, 16 1226 THONEX  CANTON DE GENEVE, SUISSE",contact@groupelan.com
Centre de Developpement des Logiciels et de Formation Continue,Av. Habib Bourguiba résidence elawar N 6 1200 kasserine,cdfdhajali@gmail.com.com
Ixias  (BE 0767.498.939),Avenue des lilas 28 1070 Bruxelles Belgique,akrem.ayadi@ixias.be
Omnidata,"74 Bd Abdelmoumen, Casablanca 20100",contact@medtech.ma
telecom,Rue André Ampére cité Administrative 2080 Ariana,aliazerai@gmail.com
Expensya Tunisie,Rue lac Biwa - Les berges du lac 1053 Tunis,hello@expensya.com
Arab Tunisian Bank,9 Rue Hedi Nouira-,contact@atb.com.tn
Peak Technologies SARL,5ème étage Imm. Nabil 4000 Sousse,Info@peak-cc.com
Jérémy Panouillot,39230 Champrougier France / Skanes Monastir,alpha.green.textile@gmail.com
telecom,tunis,loduviv.compere@neofacto.com
SNCF RESEAU,6  Av François Mitterrand  93574 LA PLAINE ST DENIS CEDEX,alexandra.grandvalet@reseau.sncf.fr
ESIGELEC,ESIGELEC  Technopole du Madrillet  Avenue Galilée – 76800 Saint Etienne du Rouvray,adnane.cabani@esigelec.fr
AMZi Smart Solutions,"Centre Chalekh, 2eme étage, app, El-Mourouj 4, Ben Arous 2074",dr.rouissi@amzi-ss.com
Axe Finance,"La Couverture Building, 3rd Floor, Lac Huron street, Les Berges du Lac, Tunis, Tunis TN-1053, TN",info@axefinance.com
Talan Tunisie,"10 Rue de l'énergie solaire Impasse N°1 Charguia 1, Tunis 2035",jobs.tunisia@talan.com
INHANCE,Av Moez Ibn Badis Résidence Salma Villa 13 Borj louzir Ariana 2036,inhance.commerciale@outlook.com
IODEV,"Immeuble Le 24, Rue Mongi Slim, Sakkiet Ezzit, Sfax 3021, Tunisie",mohamed.kallel@iovision.io
Oddo-bhf Tunis,"Immeuble Sandra Towers, avenue du lac Nord, 1053, les berges du lac, tunisie",faten.fliss@oddo-bhf.com
Smart It Partner,"Chotrana Parc Technologique El Ghazela, Ariana,",ma.mezghich@smart-it-partner.com
Vneuron,4 Rue de l'artisanat - Charguia II - Tunis,rh@vneuron.com
CEDE Labs,"229 rue Saint-Honoré, 75001, France",gabriel.begazo@cedelabs.io
ALTERSIS Performance,Bureau A1-3 GOLDEN TOWERS Centre Urbain Nord - 1080 Tunis – Tunisie,contact@altersis.com
Mentor Graphics - Siemens Business,"Immeuble Fahd, Rue de la feuille d'érable, 5éme étage, les Berges du Lac 2, 1053 - Tunis, Tunisie",hr_egc@mentor.com
hadooc,"131 Av. La liberté, Tunis, Tunis 1002",contact@hadooc.com
"Laboratoire STILL, Ecole de technologie supérieurs (ETS)","1100 rue Notre-Dame Ouest, Montreal, Quebec H3C 1K3, Canada",ali.ouni@estmtl.ca
Alta Via Consulting GmbH,"Kemperplatz 1, 10785 Berlin",info@altavia.de
Startup Factory,Rte Ain KM 1 3003 Sfax,contact@startupfactory.tn
Sagemcom software and Technologies,"24,rue omar el khayem.zonde d'activité kheireddine 2060 -La goulette - tunis",Contact@sagemcom.com
Talan Tunisie Consulting,"10 rue d'Energie Solaire Impasse 1, 2035 Charguia 1",Behjet.boussofara@talan.com
Université Laval,"1050, avenue de la Médecine, Québec (Québec) Canada, G1V0A6",info@ulaval.ca
Oakland University,"318 Meadow Brook Rd, Rochester, MI 48309, United States",kessentini@oakland.edu
M&C IT Consulting,"Tunimara, Rue du Lac de Constance, Tunis 1053",contact@mnc.aero
PwC,"Rue du Lac d'Annecy, Tunis",fatma.khelifi@pwc.com
One TECH Business Solutions a company of One TECH Group,"16 Rue des Entrepreneurs,  Zone Industrielle Charguia 2, 2035 Tunis,TUNISIA",contact.otbs@onetech-group.com
ENSTA Bretagne,"ENSTA Bretagne, 2 rue François Verny, 29806 BREST Cedex 9",jean-pierre.baudu@ensta-bretagne.fr
EURA NOVA,"Zone d'activités Kheireddine Rue Socrate, 6 Les Berges du Lac 3, Tunis 2015",admin@euranova.tn
Siemens - Mentor Graphics Tunisia,"Rue de la  Feuille d’Erable, Lac 2 Tunis.",zied.marrakchi@siemens.com
Université TÉLUQ,"455 rue du Parvis Québec, QC G1K 9H6, Canada",info@teluq.ca
L’Université du Québec en Abitibi-Témiscamingue,"445 Bd de l'Université, Rouyn-Noranda, QC J9X 5E4, CANADA",chahid.ahabchane@uqat.ca
Finlogik Tunisie,"Route Teniour km 2,5 Sfax",recrutementunisie@finlogik.com
Université du Québec à Rimouski,"300, allée des Ursulines, C.P. 3300, succ. A, 300 All. des Ursulines, Rimouski, QC G5L 3A1, Canada",uqar@uqar.qc.ca
wynsys,"Bloc B12, Elgazela Technopark - 2088 Ariana – Tunisie",contactus@wynsys.com
ACTIA Engineering Services,"Technopôle El Ghazala - 1, BP99 rue Newton, Ariana 2088",imene.mehri@actia-engineering.tn
Go Partner TN,"18 Ave Habib Bourguiba, Manouba 2010 Tunisie",smaalaoui@gopartner.fr
Wg Consulting,Teboulba-5080,info@wg-consulting.fr
Cognira,"Immeuble Premium B-04  Rue De L’euro Les Berges Du Lac 1053 Tunis, Tunisia",asma.benfredj@cognira.com
Standard Sharing Software (3S),"Immeuble 3S, Lotissement Ennassim Montplaisir, Tunis 1073",RH@3s.com.tn
Université de Sherbrooke,"150 Pl. Charles-Le Moyne, Longueuil, QC J4K 0A8, Canada",campus.longueuil@USherbrooke.ca
FNZ group,"FNZ group TUNISIA SARL 49 rue l'industrie - STECOM building, 2nd floor - Charguia1 Cite El Khadra - 2035 Tunis - Tunisia",StagesPFE-tn@newaccess.ch
IOT Lab at Carleton University,"2455 MACKENZIE CARLETON UNIVERSITY 1125 COLONEL BY DRIVE OTTAWA, ON, K1S 5B6",CARLETONIOTLAB@GMAIL.COM
Billcom Consulting,"Rue zitouna khezama ,Sousse",contact@billcom-consulting.com
Continuous Net,"RHMV+WFM, Sousse",stage@continuousnet.com
GeWinner,"Business incubator, Elgazala Technopark, Raoued, 2088 Ariana, Tunisia",gewinner.contact@gmail.com
Novobit Group GmbH,"Theodor-Heuss-Straße 2, 38122 Braunschweig, Germany",MAIL@NOVOBIT.EU
Télécom SudParis,CEA Saclay - Nano Innov PC 176 - Bât 861 91191 Gif sur Yvette Cedex France,communication@telecom-sudparis.eu
"Télécom SudParis (Évry/Palaiseau, France), SAMOVAR Lab",9 rue Charles Fourier -91011 EVERY Cedex - France,Denis.Conan@telecom-sudparis.eu
Sagemcom Software & Technologies,34 Avenue de Paris – Megrine,mariem.jomni@sagemcom.com
CED Tunisia,"49 Rue de l'énergie solaire , Charguia1, 2035 Tunis , TN",chayma.nawali@ced.group
WSK Medical,"Science Park 608 unit K09, 1098 XH Amsterdam",marius.wellenstein@wskmedical.org
DECADE,"Immeuble Salma Centre, 6ème étage Avenue du combattant suprême, Monastir, 5000, Monastir, Tunisie.",khamkham.h@decade.fr
PIGE INU LTD,20-22 WENLOCK ROAD LONDON N1 7GU,support@pigeinu.info
ESS-Mondial GmbH,Finkenkoppel 37 | 21465 Reinbek,m.benkhemis@ess-mondial.com
Infor Tunisia,"1053 Rue du Lac Tibériade, Tunis",Wahb.Essid@infor.com
Infor,"1053 Rue du Lac Tibériade, Tunis",dl-pdx-careers-tunisia@infor.com
Ontario Tech University,"2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",visitingscholars@ontariotechu.ca
société DECADE Tunisie,siège: Immeuble SALMA Centre Avenue du combattant suprême- Monastir,administratif@decade.fr
Université de Chicoutimi,"Université du Québec à Chicoutimi 555 Bd de l'Université, Chicoutimi, QC G7H 2B1",Fehmi.jaafar@uqac.ca
Teligencia,"37 Rue Asdrubal, Tunis, 1002, TN",info@teligenica.com
Hochschule Offenburg,Badstraße 24 | D-77652 Offenburg,info@hs-offenburg.de
SOCIETE GENERALE,189 rue d'Aubervilliers 75886 Paris Cedex 18,adm.stages@socgen.com
Sofiatech,Pôle El Ghazala des technologies de la communication B21,contact@sofia-technologies.net
Quantylix,"Zone industrielle Lac3 ,el Kram",contact@quantylix.com
KPMG TECH,"11 Rue Ibn Al Nafis, building, Les berges du lac 3, Tunis 2089, TN",mznati@kpmg.com
SOFRECOM TUNISIE,"IMMEUBLE STERLING, RUE DU LAC BIWA, LES BERGES DU LAC 01-1053 TUNIS, TUNIS, 1053, TN.",sameh.bejaoui@sofrecom.com
MASS Analytics,"Les berges du Lac2, Avenue de l'Euro , Immeuble City Lake Center_Bloc D -1053 Tunisie",info@mass-analytics.com
CODOC,16 rue du caire 75002 paris,arthur@codoc.co
Université Polytechnique Montréal,"2500 Chem de Polytechnique, Montréal QC H3T 1J4 , Canada",yuvin.chinniah@polytml.ca
Université Laval unité de recherche CIRRELT,2325 rue de la terrase Québec G1V0A6 QC Canada,jacques.renaud@fsa.ulaval.ca
Université du Québec à Trois‐Rivières,"3351, boulevard des Forges Trois‐Rivières, C.P. 500, Québec (Canada) G9A 5H7",bir@uqtr.ca
SOWISO BV,"Science Park 301,1098 XH, Amsterdam",max@sowiso.com
neusta inspire GmbH,Konsul-Smidt-Straße 24 28217 Bremen,info@neusta.de
Assist you group bv,stationsplein 45 A4.004 3031 ak rotterdam,bram@assistyou.ai
KSHUTTLE,3 Rue jules guesde - 92300 levallois perret,contact@kshuttle.io
vsx,sdvbds,annonces@ensi-uma.tn
Cognira,"Immeuble Premium B-04  Rue De L’euro Les Berges Du Lac 1053 Tunis, Tunisia",info@cognira.com
NETWORK ASSOCIATES,"Rue Lac Constance , Berges du Lac",contact@na.com.tn
3IA Technology,Ezzahra,info@3ia-technology.com
MEGASOFT,"Immeuble Essarrafa, Moknin, Tunisia",contact@megasoft-online.com
Mosofty,"37 avenue de colmar, 92500 Reuil Malmaison, France",contact@mosofty.com
Innovant Studio,"Technopark Elghazela B11, Ariana, Tunisia",careers@innovant.studio
B2M,7 allée abou al atahia 1082 mutuelleville,Baligh.hamdi@b2m-it.com
Neocortex Technologies,"Lac 2 , Imm Vital Cube",amine@neocortex-consulting.com
Next Gen Solution,Avenu Habib Bourguiba A-1-1  2080 centre d'affaire Carthage Ariana,contact@ngs.tn
Machinestalk,Centre Urbain nord Loyd 9eme etage,mayssa.boubahri@machinestalk.com
Brandee R&D,"Imm LIDO, app N°21 Bizerte 7000, Binzart",acallarec@getbrandee.com
MS Solutions,"A40-A41, Imm le 45 , Avenue du japon , Montplaisir",contact@mssolutions.tn
Go Partner TN,"18, Deuxième étage Boulevard Habib Bourguiba, 2010 Manouba – Tunisie",contact@gopartner.fr
BUSINESS & AI,Megrine Business Center.,contact@business-and-ai.com
Laboratoire de recherche RIADI,"École Nationale des Sciences de l'Informatique (ENSI)  Campus Universitaire de la Manouba, 2010 Manouba, Tunisie",sihem.bensassi@gmail.com
ACCÈS LEADER GROUPE,"VH4W+VHM, Hammam Sousse",tn@accessleader.com
TakiAcademy,"Rue du Maghreb Arabe, khezma-Sousse 4071",contact@takiacademy.com
International Information Developments,"43 Av. Kheireddine Pacha, Montplaisir - Tunis",zbaliha@e-i.com
Orange Tunisie,"Siège social : Immeuble Orange, avenue du Cheikh Mohamed Fadhel Ben Achour, Centre Urbain Nord, 1003 Tunis",moumelli@naxxum.fr
Accent,Pole Technologique de Mannouba,contact@accent.tn
Infraplus,"avenue de medine el mourouj,Ben arous",contact@infraplus.net
Spectrum Groupe,"Zone d’activité Kheireddine. La Goulette, Tunisie",sofien.chaabouni@spectrumgroupe.fr
Meta,"1 Rathbone Square, London",iheb@fb.com
Corilus,"immeuble zahra, rue du lac Turkana, les berges du lac",info.medical@corilus.be
Forvia Informatique Tunisie,"Centre Urbain Nord, Imm Cercle des bureaux, 7ème étage B7, Ariana Ville, Ariana, 2088 Tunisie",afifa.manai@forvia.com
Tunisair,Boulevard Mohamed Bouazizi . Charguia 2035,brc@tunisair.com.tn
Inetum Tunisie,"Immeuble Horizon, Avenue De La Bourse، Tunis 1053",info@inetum.world
Udini,"DeepSmile Lab, Technopôle de Sfax",houda.chaabouni@deepsmile.com
Tunisie Technologies,Sousse Sahloul,contact@tuni-tech.com
Linedata,Centre Urbain Nord 1082 TUNIS,Sinda.Krifa@se.linedata.com
sopra banking,"Immeuble Les Pins Bloc B, Cité les Pins Lotissement Zone VI, Lac 2 1053 Les Berges du lac",contact-corp@soprasteria.com
Lemniscus,"3, Rue du 13 Aout – La Marsa 2078",Sana.ksouri@gmail.com
Axefinance,"Rue lac Huron, Immeuble la couverture, 1053, lac1",Hr@axefinance.com
ZNet-IT,"Route de Tunis km 10 cités El Ons Pépinière d’entreprises Sfax Innovation 3 3021 Sakiet Ezzit . Sfax, Tunisie",contact@znetit.com
MyWeb,Z-I-Chotrana,contact@myweb-dev.site
Hydatis,"Immeuble Golden Tower, Bloc B Centre urbain Nord , Tunis 1083 Tunisie",contact@hydatis.com
Tessan,"17, Rue Ahmed Rami, City des Jardins, Tunis 1002, TN",rafik.dahmen@tessan-technology.com
Sagemcom Software and Technologies,34 Avenue Paris Megrine 2033,hanen.rouahi@sagemcom.com
Spark-it,"Route Gremda km 4, Bouzayen, Sfax",fsallem@spark-it.fr
IID - International Information Developments,"43 Av. Kheireddine Pacha, Tunis",hamza.zbali@e-i.com
Tech1,RESIDENCE DAR EL KHIR Cité Les pins 1053 LAC 2 Tunis,amira.kaabi@tech1.tn
REGIM-LAB,"ENIS, Route de Soukra Km 4, BP 1173, Sfax.",adel.alimi@regim.usf.tn
ABSHORE,"Rue Du Lac Lechness, Immeuble NEO 2ème étage 1053, Les Berges Du Lac Tunis, Tunisie",contact@abshore.com
PixiMind,"Rte El Ain Km 1.5 Imm Alihsen APP.2.2, Sfax  Tunisie",administration@piximind.com
M-TECH,15 Route des gardes 92190 MEUDON,mehdi.bensabbah@web-m-tech.fr
intellitech,Sfax Route tunis km6 Sakkiet ezzit,info@bird-notes.com
Info'Lib,10 street Mahmoud khachlef sousse corniche 4059,contact@infolib.tn
DRÄXLMAIER,"Zone Industrielle Route Bir Ettayeb KM2, 5020 Jemmal, Monastir",Slim.Bacha@draexlmaier.com
SiFast,"42 rue meteor route el Ain klm1, sfax",contact@sifast.com
Axe finance,"3éme étage, Immeuble La Couverture, Rue du Lac Huron, Tunis 1053",marketing@axefinance.com
SFM technologies,"81 Av. Hédi Chaker, Tunis 1002",info@sfmtelecom.com
AREV,technopole manouba 2010,support@makhbazti.com
Get Wireless,"Immeuble ZARRAD, rue ALFRED NOBEL, Bloc A, Bureau AM3, zone d’activité Khaireddine, lac 3",contact@getwireless.com.tn
Talan Tunisie Consulting,"10 rue de l'energie solaire impasse 1,charguia1",imen.ayari@talan.com
BNA,Rue Hedi Nouira Tunis,hatem.kriaa@bna.tn
Fourity,"Narodnog fronta 21c, Novi Sad 21000",office@fourity.com
Madar Consulting,"B3-2 Immeuble Ines ,centre urban nord  ,1802, Tunis",Zboufaden@madarconsulting.com
cognira,"Immeuble Premium , Avenue de l'Euro, Les Berges du Lac 2",saida.youssef@cognira.com
We Settle,2 Rue Ahmed Tijeni Cité Najet Oued Elil Manouba,contact@we-settle.com
PPR Technologies inc.,1120 rue Hélène-Boullé Boucherville (Québec) J4B2A7 Canada,abid.mariem@gmail.com
Orthlane,immeuble Ribat El Medina Sfax,ali@orthlane.com
Banque Internationale Arabe De Tunisie,Angle rue de grece et rue de yougoslavie. 1000,tre@biat.com.tn
Elite2com,"Avenue Hedi Nouira, Immeuble Aicha, Nabeul 8000",contact@elite2com.com
Laboratoire COSIM,"Route de Raoued 3,5 Km  - 2083, Ariana Tunisie",contact@supcom.tn
BIAT Tunisie,70-72 Av Habib Bourghiba,Neira.moalla@biat.com.tn
L'Institut National de la Statistique,70 Rue el Cham belvedere Tunis,ins@ins.tn
Université Paris-Est Créteil (UPEC),"122 rue Paul Armangot, 94400 Vitry sur Seine",yacine.amirat@u-pec.fr
Biware Solutions,"2éme étage Bloc A de la Résidence Farah, Rue du Lac Huron, 1053 Les berges du Lac, Tunis - Tunisie",contact@biware-consulting.com
Deep Learn Strategies Limited,"Ground Floor, 2 Woodberry Grove, London, England, N12 0DR",info@dls.ltd
Informatech,Avenue Habib Bourguiba Teboulba -Monastir,contact@informatech.com.tn
IODEV,"B54 Immeuble le 24 Rue Mongi Slim, Sakiet Ezzit,Sfax-Tunisie",contact@iovision.io
primatec engineering,sakiet zit sfax,personal@primatec.tn
WeDo Consult,"Avenue Habib Bourguiba, centre Hermès B44, Grombalia",sami.garradhi@wedo-consult.com
Capgemini Engineering,"Parc Technologique El Ghazala Bloc N°3 Route de Raoued Km 3,5 Ariana, Tunisie, 2088",mohamedamine.babay@altran.com
Com and Dev,Sahloul Sousse,contact@com-and-dev.com
ProgressSoft Corporation,"51 Saad Bin Abi Waqqas St، Amman, Jordan",marketing@progressoft.com
Groupe chimique tunisien,Gabes,Bedoui.Mouafak@gct.com.tn
Enova Robotics,Novation City - Technopôle de Sousse,contact@enovarobotics.com
Z-Consulting,"Route de gremda ,sfax",sahnoun@zconsulting.fr
Sama Consulting,"Villa 24, Cité EL BAHRI – Ezzahra",Contact@sama-consulting.com
Coconsult,Sfax,contact@coconsult.fr
Glinse,sfax,example@glinse.com
Glinse,Sfax,contact@glinse.com
